data_inicio_semana_epidemi,casos_confirmados,casos_notificados,surto_confirmados,surto_notificados
2020-10-04,0.0,2.0,0.0,0.0
2020-10-11,0.0,1.0,0.0,0.0
2020-10-18,0.0,2.0,0.0,0.0
2020-10-25,0.0,1.0,0.0,0.0
2020-11-01,0.0,2.0,0.0,0.0
2020-11-08,0.0,3.0,0.0,0.0
2020-11-15,0.0,1.0,0.0,0.0
2020-11-22,0.0,2.0,0.0,0.0
2020-11-29,0.0,2.0,0.0,0.0
2020-12-06,0.0,0.0,0.0,0.0
2020-12-13,0.0,0.0,0.0,0.0
2020-12-20,0.0,1.0,0.0,0.0
2020-12-27,0.0,1.0,0.0,0.0
2021-01-03,0.0,1.0,0.0,0.0
2021-01-10,0.0,2.0,0.0,0.0
2021-01-17,0.0,1.0,0.0,0.0
2021-01-24,0.0,2.0,0.0,0.0
2021-01-31,0.0,1.0,0.0,0.0
2021-02-07,0.0,1.0,0.0,0.0
2021-02-14,0.0,2.0,0.0,0.0
2021-02-21,2.0,3.0,0.0,0.0
2021-02-28,0.0,1.0,0.0,0.0
2021-03-07,1.0,2.0,0.0,0.0
2021-03-14,0.0,2.0,0.0,0.0
2021-03-21,1.0,2.0,0.0,0.0
2021-03-28,1.0,3.0,0.0,0.0
2021-04-04,9.0,10.0,1.0,0.0
2021-04-11,12.0,15.0,1.0,0.0
2021-04-18,12.0,17.0,1.0,0.0
2021-04-25,8.0,13.0,0.0,0.0
2021-05-02,7.0,9.0,0.0,0.0
2021-05-09,9.0,13.0,0.0,0.0
2021-05-16,5.0,12.0,0.0,0.0
2021-05-23,0.0,4.0,0.0,0.0
2021-05-30,1.0,2.0,0.0,0.0
2021-06-06,1.0,2.0,0.0,0.0
2021-06-13,0.0,2.0,0.0,0.0
2021-06-20,0.0,4.0,0.0,0.0
2021-06-27,0.0,2.0,0.0,0.0
2021-07-04,1.0,1.0,0.0,0.0
2021-07-11,0.0,3.0,0.0,0.0
2021-07-18,1.0,2.0,0.0,0.0
2021-07-25,0.0,1.0,0.0,0.0
2021-08-01,0.0,2.0,0.0,0.0
2021-08-08,0.0,0.0,0.0,0.0
2021-08-15,0.0,2.0,0.0,0.0
2021-08-22,0.0,0.0,0.0,0.0
2021-08-29,0.0,0.0,0.0,0.0
2021-09-05,0.0,3.0,0.0,0.0
2021-09-12,0.0,0.0,0.0,0.0
2021-09-19,0.0,2.0,0.0,0.0
2021-09-26,0.0,2.0,0.0,0.0
2021-10-03,0.0,1.0,0.0,0.0
2021-10-10,0.0,0.0,0.0,0.0
2021-10-17,0.0,3.0,0.0,0.0
2021-10-24,0.0,0.0,0.0,0.0
2021-10-31,0.0,2.0,0.0,0.0
2021-11-07,0.0,1.0,0.0,0.0
2021-11-14,0.0,5.0,0.0,0.0
2021-11-21,0.0,1.0,0.0,0.0
2021-11-28,0.0,2.0,0.0,0.0
2021-12-05,1.0,2.0,0.0,0.0
2021-12-12,0.0,0.0,0.0,0.0
2021-12-19,0.0,2.0,0.0,0.0
2021-12-26,0.0,1.0,0.0,0.0
2022-01-02,1.0,5.0,0.0,0.0
2022-01-09,0.0,3.0,0.0,0.0
2022-01-16,2.0,6.0,0.0,0.0
2022-01-23,0.0,2.0,0.0,0.0
2022-01-30,1.0,3.0,0.0,0.0
2022-02-06,2.0,3.0,0.0,0.0
2022-02-13,9.0,14.0,1.0,0.0
2022-02-20,20.0,26.0,1.0,0.0
2022-02-27,51.0,61.0,1.0,1.0
2022-03-06,203.0,227.0,1.0,1.0
2022-03-13,269.0,350.0,1.0,1.0
2022-03-20,463.0,637.0,1.0,1.0
2022-03-27,482.0,635.0,1.0,1.0
2022-04-03,524.0,722.0,1.0,1.0
2022-04-10,753.0,984.0,1.0,1.0
2022-04-17,879.0,1088.0,1.0,1.0
2022-04-24,569.0,683.0,1.0,1.0
2022-05-01,344.0,436.0,1.0,1.0
2022-05-08,223.0,282.0,1.0,1.0
2022-05-15,313.0,388.0,1.0,1.0
2022-05-22,122.0,195.0,1.0,1.0
2022-05-29,92.0,143.0,1.0,1.0
2022-06-05,61.0,95.0,1.0,1.0
2022-06-12,17.0,32.0,0.0,0.0
2022-06-19,26.0,54.0,1.0,1.0
2022-06-26,19.0,80.0,0.0,1.0
2022-07-03,14.0,66.0,0.0,1.0
2022-07-10,24.0,53.0,1.0,1.0
2022-07-17,13.0,48.0,0.0,0.0
2022-07-24,11.0,33.0,0.0,0.0
2022-07-31,11.0,27.0,0.0,0.0
2022-08-07,3.0,18.0,0.0,0.0
2022-08-14,3.0,18.0,0.0,0.0
2022-08-21,3.0,10.0,0.0,0.0
2022-08-28,1.0,13.0,0.0,0.0
2022-09-04,2.0,16.0,0.0,0.0
2022-09-11,0.0,9.0,0.0,0.0
2022-09-18,3.0,9.0,0.0,0.0
2022-09-25,0.0,9.0,0.0,0.0
2022-10-02,1.0,10.0,0.0,0.0
2022-10-09,0.0,13.0,0.0,0.0
2022-10-16,1.0,6.0,0.0,0.0
2022-10-23,0.0,10.0,0.0,0.0
2022-10-30,0.0,8.0,0.0,0.0
2022-11-06,6.0,13.0,0.0,0.0
2022-11-13,11.0,19.0,0.0,0.0
2022-11-20,7.0,14.0,0.0,0.0
2022-11-27,9.0,18.0,0.0,0.0
2022-12-04,10.0,16.0,0.0,0.0
2022-12-11,4.0,4.0,0.0,0.0
2022-12-18,0.0,0.0,0.0,0.0
2022-12-25,1.0,8.0,0.0,0.0
2023-01-01,0.0,30.0,0.0,0.0
2023-01-08,3.0,24.0,0.0,0.0
2023-01-15,2.0,24.0,0.0,0.0
2023-01-22,0.0,14.0,0.0,0.0
2023-01-29,2.0,19.0,0.0,0.0
2023-02-05,0.0,18.0,0.0,0.0
2023-02-12,10.0,21.0,0.0,0.0
2023-02-19,7.0,39.0,0.0,0.0
2023-02-26,27.0,90.0,1.0,1.0
2023-03-05,37.0,139.0,1.0,1.0
2023-03-12,93.0,208.0,1.0,1.0
2023-03-19,199.0,365.0,1.0,1.0
2023-03-26,250.0,467.0,1.0,1.0
2023-04-02,360.0,572.0,1.0,1.0
2023-04-09,541.0,881.0,1.0,1.0
2023-04-16,589.0,887.0,1.0,1.0
2023-04-23,581.0,829.0,1.0,1.0
2023-04-30,760.0,961.0,1.0,1.0
2023-05-07,762.0,699.0,1.0,1.0
2023-05-14,540.0,662.0,1.0,1.0
2023-05-21,473.0,539.0,1.0,1.0
2023-05-28,450.0,441.0,1.0,1.0
2023-06-04,225.0,220.0,1.0,1.0
2023-06-11,219.0,195.0,1.0,1.0
2023-06-18,66.0,91.0,1.0,1.0
2023-06-25,76.0,90.0,1.0,1.0
2023-07-02,74.0,86.0,1.0,1.0
2023-07-09,52.0,62.0,0.0,0.0
2023-07-16,32.0,70.0,0.0,0.0
2023-07-23,25.0,64.0,0.0,0.0
2023-07-30,15.0,56.0,0.0,0.0
2023-08-06,18.0,71.0,0.0,0.0
2023-08-13,13.0,61.0,0.0,0.0
2023-08-20,9.0,49.0,0.0,0.0
2023-08-27,9.0,39.0,0.0,0.0
2023-09-03,1.0,29.0,0.0,0.0
2023-09-10,9.0,35.0,0.0,0.0
2023-09-17,3.0,30.0,0.0,0.0
2023-09-24,0.0,19.0,0.0,0.0
2023-10-01,5.0,20.0,0.0,0.0
2023-10-08,5.0,16.0,0.0,0.0
2023-10-15,4.0,17.0,0.0,0.0
2023-10-22,3.0,17.0,0.0,0.0
2023-10-29,7.0,18.0,0.0,0.0
2023-11-05,6.0,21.0,0.0,0.0
2023-11-12,0.0,20.0,0.0,0.0
2023-11-19,3.0,24.0,0.0,0.0
2023-11-26,3.0,16.0,0.0,0.0
2023-12-03,7.0,20.0,0.0,0.0
2023-12-10,3.0,16.0,0.0,0.0
2023-12-17,3.0,18.0,0.0,0.0
2023-12-24,10.0,37.0,0.0,0.0
2023-12-31,9.0,66.0,0.0,0.0
2024-01-07,11.0,66.0,0.0,0.0
2024-01-14,12.0,47.0,0.0,0.0
2024-01-21,30.0,83.0,0.0,1.0
2024-01-28,39.0,126.0,0.0,1.0
2024-02-04,80.0,211.0,1.0,1.0
2024-02-11,156.0,305.0,1.0,1.0
2024-02-18,249.0,453.0,1.0,1.0
2024-02-25,558.0,738.0,1.0,1.0
2024-03-03,1311.0,1468.0,1.0,1.0
2024-03-10,1227.0,1277.0,1.0,1.0
2024-03-17,995.0,1186.0,1.0,1.0
2024-03-24,1109.0,1931.0,1.0,1.0
2024-03-31,1601.0,2306.0,1.0,1.0
2024-04-07,1849.0,2833.0,1.0,1.0
2024-04-14,1783.0,3081.0,1.0,1.0
2024-04-21,1855.0,3132.0,1.0,1.0
2024-04-28,1347.0,2341.0,1.0,1.0
2024-05-05,911.0,1521.0,1.0,1.0
2024-05-12,1510.0,2062.0,1.0,1.0
2024-05-19,646.0,987.0,1.0,1.0
2024-05-26,520.0,868.0,1.0,1.0
2024-06-02,199.0,598.0,0.0,1.0
2024-06-09,263.0,675.0,1.0,1.0
2024-06-16,277.0,640.0,1.0,1.0
2024-06-23,194.0,422.0,0.0,1.0
2024-06-30,89.0,222.0,0.0,1.0
2024-07-07,22.0,117.0,0.0,0.0
2024-07-14,10.0,132.0,0.0,1.0
2024-07-21,13.0,112.0,0.0,0.0
2024-07-28,22.0,131.0,0.0,1.0
2024-08-04,13.0,110.0,0.0,0.0
2024-08-11,16.0,79.0,0.0,0.0
2024-08-18,13.0,81.0,0.0,0.0
2024-08-25,14.0,79.0,0.0,0.0
2024-09-01,9.0,70.0,0.0,0.0
2024-09-08,7.0,71.0,0.0,0.0
2024-09-15,10.0,69.0,0.0,0.0
2024-09-22,7.0,68.0,0.0,0.0
2024-09-29,3.0,68.0,0.0,0.0
2024-10-06,6.0,55.0,0.0,0.0
2024-10-13,2.0,78.0,0.0,0.0
2024-10-20,3.0,74.0,0.0,0.0
2024-10-27,3.0,78.0,0.0,0.0
2024-11-03,1.0,80.0,0.0,0.0
2024-11-10,2.0,61.0,0.0,0.0
2024-11-17,0.0,62.0,0.0,0.0
2024-11-24,7.0,95.0,0.0,0.0
2024-12-01,4.0,65.0,0.0,0.0
2024-12-08,5.0,57.0,0.0,0.0
2024-12-15,1.0,40.0,0.0,0.0
2024-12-22,1.0,36.0,0.0,0.0
2024-12-29,19.0,105.0,0.0,0.0
2025-01-05,26.0,158.0,0.0,1.0
2025-01-12,32.0,159.0,0.0,1.0
2025-01-19,37.0,208.0,0.0,1.0
2025-01-26,47.0,185.0,0.0,1.0
2025-02-02,75.0,256.0,0.0,1.0
2025-02-09,161.0,329.0,0.0,1.0
2025-02-16,245.0,490.0,1.0,1.0
2025-02-23,383.0,661.0,1.0,1.0
2025-03-02,494.0,805.0,1.0,1.0
2025-03-09,917.0,1428.0,1.0,1.0
2025-03-16,1199.0,1957.0,1.0,1.0
2025-03-23,1801.0,3222.0,1.0,1.0
2025-03-30,2381.0,4572.0,1.0,1.0
2025-04-06,2184.0,4806.0,1.0,1.0
2025-04-13,2247.0,4962.0,1.0,1.0
2025-04-20,2229.0,6260.0,1.0,1.0
2025-04-27,2212.0,5596.0,1.0,1.0
2025-05-04,2159.0,5797.0,1.0,1.0
2025-05-11,1944.0,6238.0,1.0,1.0
2025-05-18,1988.0,5459.0,1.0,1.0
2025-05-25,883.0,2950.0,1.0,1.0
2025-06-01,579.0,2152.0,1.0,1.0
2025-06-08,257.0,1264.0,0.0,1.0
2025-06-15,105.0,637.0,0.0,1.0
2025-06-22,50.0,345.0,0.0,1.0
2025-06-29,22.0,199.0,0.0,0.0
2025-07-06,13.0,184.0,0.0,0.0
2025-07-13,7.0,163.0,0.0,0.0
2025-07-20,9.0,137.0,0.0,0.0
2025-07-27,5.0,110.0,0.0,0.0
2025-08-03,4.0,97.0,0.0,0.0
2025-08-10,11.0,111.0,0.0,0.0
2025-08-17,9.0,112.0,0.0,0.0
2025-08-24,4.0,99.0,0.0,0.0
2025-08-31,8.0,113.0,0.0,0.0
2025-09-07,6.0,94.0,0.0,0.0
2025-09-14,3.0,119.0,0.0,0.0
2025-09-21,9.0,128.0,0.0,0.0
2025-09-28,6.0,168.0,0.0,0.0
2025-10-05,7.0,168.0,0.0,0.0
2025-10-12,5.0,166.0,0.0,0.0
2025-10-19,4.0,182.0,0.0,0.0
2025-10-26,8.0,162.0,0.0,0.0
2025-11-02,4.0,142.0,0.0,0.0
2025-11-09,0.0,122.0,0.0,0.0
2025-11-16,5.0,113.0,0.0,0.0
2025-11-23,2.0,159.0,0.0,0.0
2025-11-30,3.0,161.0,0.0,0.0
2025-12-07,2.0,182.0,0.0,0.0
2025-12-14,1.0,156.0,0.0,0.0
2025-12-21,1.0,135.0,0.0,0.0
2025-12-28,0.0,126.0,0.0,0.0
2026-01-04,2.0,222.0,0.0,1.0
2026-01-11,1.0,242.0,0.0,1.0
2026-01-18,1.0,213.0,0.0,1.0
2026-01-25,1.0,227.0,0.0,1.0
2026-02-01,1.0,229.0,0.0,1.0
2026-02-08,1.0,187.0,0.0,0.0
2026-02-15,1.0,180.0,0.0,0.0
2026-02-22,0.0,231.0,0.0,1.0
2026-03-01,1.0,254.0,0.0,1.0
2026-03-08,0.0,241.0,0.0,1.0
2026-03-15,0.0,262.0,0.0,1.0
2026-03-22,0.0,277.0,0.0,1.0
2026-03-29,0.0,304.0,0.0,1.0
2026-04-05,0.0,286.0,0.0,1.0
2026-04-12,0.0,239.0,0.0,1.0
2026-04-19,2.0,152.0,0.0,0.0
2026-04-26,1.0,113.0,0.0,0.0
